Sigma,N_therm,E_mean,E_error,E_heis_mean,E_heis_error
0.00206913808111479,8192,-72.89166275408337,6.34448889146877e-06,-19.347637929424916,0.019282895340601985
0.00206913808111479,16384,-72.89166343960665,6.342552482667676e-06,-19.342729641895204,0.019287454814961795
0.00206913808111479,32768,-72.89166733464923,6.340999967836635e-06,-19.356112932146488,0.01928582619761609
0.00206913808111479,65536,-72.89166302691916,6.348050456547463e-06,-19.352327926696468,0.019285439158180376
0.00206913808111479,131072,-72.8916579337239,6.362279326256042e-06,-19.332825047637883,0.019317882865803795
0.00206913808111479,262144,-72.89166341496221,6.357136824462399e-06,-19.32781880824085,0.0192812859996637
0.00206913808111479,524288,-72.89167150157238,6.347844781429164e-06,-19.339672033780687,0.019236469553962177
0.004281332398719396,1024,-72.89165461424207,6.3535729687816105e-06,-19.337713691925742,0.019290804182689185
0.004281332398719396,2048,-72.89165470445676,6.353214687084735e-06,-19.33590810963643,0.01929919549163034
0.004281332398719396,4096,-72.89165454587564,6.350466839313746e-06,-19.333184970491654,0.019303772061677136
0.004281332398719396,8192,-72.89165449989497,6.350210463782983e-06,-19.322854844316943,0.0192976471189686
0.004281332398719396,16384,-72.89165428602617,6.332440886837011e-06,-19.32674444883849,0.019329860108951172
0.004281332398719396,32768,-72.89166285351264,6.342564745474674e-06,-19.334380512196937,0.01932990895962058
0.004281332398719396,65536,-72.89165968512103,6.344581043227717e-06,-19.343383191426817,0.01934250399523429
0.004281332398719396,131072,-72.89166238440475,6.360667438013515e-06,-19.33427127909558,0.019310320279371088
0.004281332398719396,262144,-72.89166275527523,6.367654982055942e-06,-19.339518701759424,0.019331086017407382
0.004281332398719396,524288,-72.89166787505171,6.365191274589165e-06,-19.33433981680401,0.01924088176413041
0.008858667904100823,1024,-72.8916630253405,6.3657230743902056e-06,-19.346830546617785,0.01934391929994572
0.008858667904100823,2048,-72.89166145714934,6.363618417040109e-06,-19.34769974085374,0.019343416130440425
0.008858667904100823,4096,-72.89166342801373,6.362795388192283e-06,-19.3435040895474,0.019350802626425127
0.008858667904100823,8192,-72.89166649271587,6.357796702759609e-06,-19.336070607166373,0.019348764416490503
0.008858667904100823,16384,-72.89166697623067,6.357865606821695e-06,-19.337417821325264,0.01934976618935525
0.008858667904100823,32768,-72.89166789013596,6.365953075704522e-06,-19.336644595952922,0.019327203456614164
0.008858667904100823,65536,-72.89166702999823,6.358515450735405e-06,-19.332782447474706,0.019335879863550943
0.008858667904100823,131072,-72.89166358310919,6.349516068375162e-06,-19.3378019366911,0.01922188241662449
0.008858667904100823,262144,-72.89166426242447,6.373502694022446e-06,-19.32865553680731,0.019221533213328108
0.008858667904100823,524288,-72.89166961812896,6.346724287679699e-06,-19.32500745741063,0.019269117937233377
0.018329807108324356,1024,-72.89165693637209,6.358470507364087e-06,-19.326311475549787,0.01930734169718385
0.018329807108324356,2048,-72.89165646696463,6.3590818411999865e-06,-19.324621982002846,0.01931792674301537
0.018329807108324356,4096,-72.89165499440728,6.357222012571056e-06,-19.320921364815973,0.019310192453732836
0.018329807108324356,8192,-72.89165382348938,6.3550389328421705e-06,-19.314011288164046,0.01929463450781287
0.018329807108324356,16384,-72.89165191290344,6.347178418853434e-06,-19.31672470598789,0.019295679772669508
0.018329807108324356,32768,-72.89165575080618,6.348808789172317e-06,-19.31786212830764,0.019300500923013924
0.018329807108324356,65536,-72.89166201893443,6.350052805929566e-06,-19.3375709518316,0.019296393418388506
0.018329807108324356,131072,-72.89167287431721,6.355714621715996e-06,-19.343149947073172,0.019249610347353723
0.018329807108324356,262144,-72.89166056231356,6.3425451216296796e-06,-19.315509839950977,0.01925761011497286
0.018329807108324356,524288,-72.89167245079655,6.365593270948985e-06,-19.322776845746965,0.019254727011613345
0.0379269019073225,1024,-72.89167952223391,6.351117009739036e-06,-19.344170899260206,0.01926726875466399
0.0379269019073225,2048,-72.89167836118241,6.348349153017309e-06,-19.341165425934513,0.019265326318853037
0.0379269019073225,4096,-72.89167803901331,6.349017001305875e-06,-19.340617205123095,0.019263464776120644
