E_delta_error,E_delta_mean,E_error,E_heis_delta_error,E_heis_delta_mean,E_heis_error,E_heis_mean,E_mean,RE_e_error,RE_e_mean,RE_heis_error,RE_heis_mean,Sigmas,re_e_error,re_e_mean,re_heis_error,re_heis_mean,sigma
4.340239537627915e-05,-26.751047066128564,3.935537537748657e-05,0.012859852763771745,-23.890308108940683,0.013367168978077482,-23.892712077695787,-26.75104841628134,7.521206712341875e-07,1.3439752297210457e-06,0.00036792943915177714,0.0004520485655929672,0.007054802310718645,,,,,
5.002188519490851e-05,-26.75105503183383,3.935537537748657e-05,0.016652805048454115,-23.89123238382901,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.115968337967471e-06,1.574280291654865e-06,0.0003998667727948849,0.0006106376845636355,0.008111308307896872,,,,,
4.729015393665824e-05,-26.751043953419618,3.935537537748657e-05,0.017866436469672096,-23.89662917188399,0.013367168978077482,-23.892712077695787,-26.75104841628134,9.876460048490623e-07,1.4621018129045795e-06,0.0004021219549340163,0.0005807848353641624,0.0093260334688322,,,,,
3.999783769180592e-05,-26.751044489915547,3.935537537748657e-05,0.013449053961065898,-23.89457547107535,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.0002001198601665e-06,1.271631187201727e-06,0.00033291826103812105,0.0004019573799474355,0.010722672220103232,,,,,
3.9188014240534016e-05,-26.75104671845231,3.935537537748657e-05,0.015015613129845548,-23.895821602556868,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.0917012354722823e-06,1.5504383648216944e-06,0.0003738043677737751,0.0004571428607119237,0.012328467394420659,,,,,
4.524800566647404e-05,-26.751043453573647,3.935537537748657e-05,0.015568120665210764,-23.893712397836712,0.013367168978077482,-23.892712077695787,-26.75104841628134,9.096889378607692e-07,1.5921627243464459e-06,0.0003725956988416054,0.0004097841228459306,0.014174741629268055,,,,,
4.653303749774958e-05,-26.751040912645657,3.935537537748657e-05,0.0173393756769178,-23.896911404460145,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.0660136631404732e-06,1.6540455966624318e-06,0.000326225789725361,0.000481252771310126,0.016297508346206444,,,,,
3.368452234033001e-05,-26.75104490160548,3.935537537748657e-05,0.015273418916751703,-23.898894349670865,0.013367168978077482,-23.892712077695787,-26.75104841628134,7.317214065498406e-07,9.828826477937978e-07,0.0003825194834151522,0.0005183704387538481,0.01873817422860384,,,,,
3.1778272855800806e-05,-26.751063882014517,3.935537537748657e-05,0.017685320193681478,-23.900153196220153,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.1231006113605907e-06,1.5067746558984684e-06,0.00025578881981513967,0.0005265027364689763,0.021544346900318843,,,,,
3.266344280178413e-05,-26.751077609954233,3.935537537748657e-05,0.015684530232396687,-23.898154119190075,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.1900424414689697e-06,1.9277421689379275e-06,0.0003210341112512371,0.0004910301609579504,0.024770763559917114,,,,,
3.9792916622347016e-05,-26.751061716967143,3.935537537748657e-05,0.016150262489445618,-23.894568168701813,0.013367168978077482,-23.892712077695787,-26.75104841628134,9.98245618108099e-07,1.972701946405867e-06,0.0003425226811624117,0.0005074226283078595,0.02848035868435802,,,,,
5.218479683009275e-05,-26.75107320943959,3.935537537748657e-05,0.013927811764891425,-23.895096783703742,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.3757595460262263e-06,1.914411388876859e-06,0.00032329373934050987,0.0003953153713512918,0.03274549162877728,,,,,
4.888586559514636e-05,-26.751074302923094,3.935537537748657e-05,0.013689613728237522,-23.897764879557123,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.385335898352408e-06,1.8379340221448193e-06,0.0003401402797991656,0.0004812584350477772,0.037649358067924674,,,,,
4.5258284033687696e-05,-26.751077553107915,3.935537537748657e-05,0.010436323646441028,-23.90269887751156,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.2235597908926836e-06,1.979685179733685e-06,0.00032928310780656113,0.0005398039444312726,0.04328761281083059,,,,,
3.3595509603631225e-05,-26.751087287539445,3.935537537748657e-05,0.014892538442934124,-23.894985363604317,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.1607914818429554e-06,2.1695672089672667e-06,0.0004139781971088785,0.0005293800253045202,0.049770235643321115,,,,,
5.5458182822296435e-05,-26.751080529056388,3.935537537748657e-05,0.014500480587817301,-23.89517123080804,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.2858334716622104e-06,2.435356517850512e-06,0.00035919553575391577,0.0004688007075740446,0.05722367659350217,,,,,
4.981917430905067e-05,-26.751093956437888,3.935537537748657e-05,0.012438983611396925,-23.899391603354978,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.3953012683968372e-06,2.5609189831996087e-06,0.00037523751450783857,0.0005890873698011478,0.06579332246575682,,,,,
4.7259370856302484e-05,-26.751101416330577,3.935537537748657e-05,0.01272291408598744,-23.898474449210507,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.7714682590839008e-06,2.5478001441820673e-06,0.00038240874171513315,0.0003941895922835579,0.07564633275546291,,,,,
5.915465439475085e-05,-26.7510924600051,3.935537537748657e-05,0.01358753611188195,-23.896692201942255,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.302953544714291e-06,2.436076452744913e-06,0.0003755548505194902,0.00044940806665955834,0.08697490026177834,,,,,
5.0551428683887756e-05,-26.75110049338226,3.935537537748657e-05,0.01197735439767476,-23.902745866657508,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.6572831792112435e-06,2.641038054853051e-06,0.00043937579151042853,0.0006397044009741515,0.1,,,,,
4.146984325245683e-05,-26.75110025174082,3.935537537748657e-05,0.014214396654081318,-23.899949869521,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.4543251441415593e-06,2.4740298010010757e-06,0.00046292041342409484,0.0006147503228538948,0.11497569953977356,,,,,
4.021192423345505e-05,-26.751115933897637,3.935537537748657e-05,0.013178063247056596,-23.900009542092018,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.6600561491888105e-06,2.7214131154761974e-06,0.0003901074136833314,0.0004574691259321987,0.13219411484660287,,,,,
4.0847677725288735e-05,-26.75113921288182,3.935537537748657e-05,0.015012151434613045,-23.898625189553922,0.013367168978077482,-23.892712077695787,-26.75104841628134,2.205432405161027e-06,3.515591656277566e-06,0.00033227359013050686,0.0005814633823216511,0.1519911082952933,,,,,
3.9290146757643735e-05,-26.75113488175243,3.935537537748657e-05,0.012177135423700655,-23.908479184556587,0.013367168978077482,-23.892712077695787,-26.75104841628134,2.160247641893616e-06,3.318451888554603e-06,0.0005655803286147646,0.0007481233067614103,0.17475284000076846,,,,,
4.888019294723589e-05,-26.7511578831736,3.935537537748657e-05,0.01968971259541646,-23.90434713955633,0.013367168978077482,-23.892712077695787,-26.75104841628134,2.3141117224401314e-06,4.092061981431925e-06,0.0006405909396344644,0.0009082921445217757,0.2009233002565048,,,,,
3.132494408177606e-05,-26.751158180960516,3.935537537748657e-05,0.015352907166805136,-23.90615650013598,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.766098345901661e-06,4.103193631791546e-06,0.0005438925624457172,0.0007073999168605699,0.23101297000831603,,,,,
4.815810037649734e-05,-26.75115891333154,3.935537537748657e-05,0.01708165045128231,-23.90987648081288,0.013367168978077482,-23.892712077695787,-26.75104841628134,2.14761040467004e-06,4.130570726580843e-06,0.0006470804152212736,0.0008377253403947349,0.26560877829466867,,,,,
4.6594271414038435e-05,-26.7511887632428,3.935537537748657e-05,0.0172154597233545,-23.912399330963403,0.013367168978077482,-23.892712077695787,-26.75104841628134,2.2698214862163577e-06,5.246411899950924e-06,0.0006270599592676457,0.0009899988079018025,0.30538555088334157,,,,,
4.4716322440662586e-05,-26.751211747294327,3.935537537748657e-05,0.01635231156851166,-23.912421277401485,0.013367168978077482,-23.892712077695787,-26.75104841628134,2.067842122512679e-06,6.10559478704044e-06,0.0006977255526071101,0.0010109499366568332,0.3511191734215131,,,,,
3.3755466381236715e-05,-26.7512216674785,3.935537537748657e-05,0.014691080316446663,-23.91608476850221,0.013367168978077482,-23.892712077695787,-26.75104841628134,1.7870335447435799e-06,6.476428319136358e-06,0.0006175268363017883,0.001057709118316871,0.40370172585965536,,,,,
