# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total (relevant): 2112.366 | Total (excluded): 2950.741 | Total (all):       │
# │ 5063.107                                                                     │
# │ └── (100.0%) | LPS_VMC._forward_and_backward : 5060.152 s                    │
# │     ├── ⊗ computing sigma : 2950.741 s [EXCLUDED]                            │
# │     │   └── (100.0%) | MCState.sample : 2948.570 s                           │
# │     │       └── (100.0%) | sampling n_discarded samples : 1638.571 s         │
# │     ├── (24.3%) | MCState.sample : 513.218 s                                 │
# │     │   └── (100.0%) | sampling n_discarded samples : 289.640 s              │
# │     ├── (68.0%) | MCState.expect_and_grad : 1433.482 s                       │
# │     └── (7.7%) | AbstractLinearPreconditioner.__call__ : 161.516 s           │
# │         ├── (25.7%) | QGTJacobian_DefaultConstructor : 41.379 s              │
# │         │   └── (100.0%) | jacobian : 40.684 s                               │
# │         └── (74.3%) | LinearOperator.solve : 119.889 s                       │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time,sigma
-132.17737502569167,111.70759513245653,0.1919872993770348,1.1646454375711326,0.17575963894420776,0,2112.3660501820377,2.275685838885099e-07
-133.84591506745753,108.03627350049756,0.19086204406061494,1.1663128577776187,0.19055694594160966,0,2112.3660501820377,2.9512469597705764e-07
-135.49061818079653,108.19448786730206,0.19491570627746496,1.1687866893808896,0.21914835037890623,0,2112.3660501820377,2.621680150253225e-07
-137.17820403496572,114.37379218782888,0.20891541709783293,1.17647632798236,0.2815277657978261,0,2112.3660501820377,5.351804417497034e-07
-138.53017239875544,109.8955413112713,0.20600391004552662,1.1790581107944322,0.29086217872763676,0,2112.3660501820377,2.74624561788161e-07
-140.94265286512072,114.50666862441624,0.2166067769236873,1.1883179937122794,0.3391570602106563,0,2112.3660501820377,3.045057423995214e-07
-142.0505669871674,116.41699293964903,0.21783295234146602,1.1963022928477183,0.3347582699375824,0,2112.3660501820377,3.790835587245278e-07
-143.20145189019414,113.25481459209955,0.22217517745481916,1.197250134628455,0.39261534861152547,0,2112.3660501820377,4.30990814090523e-07
-145.45974235834947,111.09938974073188,0.22186271162026222,1.204204047065315,0.40737521479644967,0,2112.3660501820377,5.195994718855886e-07
-146.9349200379618,116.50626610418404,0.23554257874358484,1.2116323290401823,0.47525799520521883,0,2112.3660501820377,5.414505795623147e-07
